Rank,name,pokedex_number,abilities,typing,hp,attack,defense,special_attack,special_defense,speed,height,weight,genus,gen_introduced,female_rate,genderless,baby_pokemon,legendary,mythical,is_default,forms_switchable,base_experience,capture_rate,egg_groups,egg_cycles,base_happiness,can_evolve,evolves_from,primary_color,shape,number_pokemon_with_typing,defense_vs_normal,defense_vs_fire,defense_vs_water,defense_vs_electric,defense_vs_grass,defense_vs_ice,defense_vs_fighting,defense_vs_poison,defense_vs_ground,defense_vs_flying,defense_vs_psychic,defense_vs_bug,defense_vs_rock,defense_vs_ghost,defense_vs_dragon,defense_vs_dark,defense_vs_steel,defense_vs_fairy
(PU),Kangaskhan,115,Early Bird~Scrappy~Inner Focus,Normal,105,95,80,40,80,90,22,800,Parent Pokémon,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,172,45,Monster,20,70,FALSE,,Brown,Upright,71,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
LC,Horsea,116,Swift Swim~Sniper~Damp,Water,30,40,70,70,25,60,4,80,Dragon Pokémon,1,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,59,225,Water 1~Dragon,20,70,TRUE,,Blue,Blob,72,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
NFE,Seadra,117,Poison Point~Sniper~Damp,Water,55,65,95,95,45,85,12,250,Dragon Pokémon,1,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,154,75,Water 1~Dragon,20,70,TRUE,Horsea,Blue,Blob,72,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
LC,Goldeen,118,Swift Swim~Water Veil~Lightning Rod,Water,45,67,60,35,50,63,6,150,Goldfish Pokémon,1,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,64,225,Water 2,20,70,TRUE,,Red,Fish,72,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
(PU),Seaking,119,Swift Swim~Water Veil~Lightning Rod,Water,80,92,65,65,80,68,13,390,Goldfish Pokémon,1,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,158,60,Water 2,20,70,FALSE,Goldeen,Red,Fish,72,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
LC,Staryu,120,Illuminate~Natural Cure~Analytic,Water,30,45,55,70,55,85,8,345,Star Shape Pokémon,1,0,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,68,225,Water 3,20,70,TRUE,,Brown,Blob,72,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
NU,Starmie,121,Illuminate~Natural Cure~Analytic,Water~Psychic,60,75,85,100,85,115,11,800,Mysterious Pokémon,1,0,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,182,60,Water 3,20,70,FALSE,Staryu,Purple,Blob,6,1,0.5,0.5,2,2,0.5,0.5,1,1,1,0.5,2,1,2,1,2,0.5,1
PU,Scyther,123,Swarm~Technician~Steadfast,Bug~Flying,70,110,80,55,80,105,15,560,Mantis Pokémon,1,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,100,45,Bug,25,70,TRUE,,Green,Bug-Wings,14,1,2,1,2,0.25,2,0.25,1,0,2,1,0.5,4,1,1,1,1,1
(PU),Jynx,124,Oblivious~Forewarn~Dry Skin,Ice~Psychic,65,50,35,115,95,95,14,406,Human Shape Pokémon,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,159,45,Human-Like,25,70,FALSE,Smoochum,Red,Humanoid,5,1,2,1,1,1,0.5,1,1,1,1,0.5,2,2,2,1,2,2,1
NFE,Electabuzz,125,Static~Vital Spirit,Electric,65,83,57,95,85,105,11,300,Electric Pokémon,1,0.25,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,172,45,Human-Like,25,70,TRUE,Elekid,Yellow,Upright,34,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1
NFE,Magmar,126,Flame Body~Vital Spirit,Fire,65,95,57,100,85,93,13,445,Spitfire Pokémon,1,0.25,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,173,45,Human-Like,25,70,TRUE,Magby,Red,Upright,34,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5
(PU),Pinsir,127,Hyper Cutter~Mold Breaker~Moxie,Bug,65,125,100,55,70,85,15,550,Stag Beetle Pokémon,1,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,175,45,Bug,25,70,FALSE,,Brown,Humanoid,19,1,2,1,1,0.5,1,0.5,1,0.5,2,1,1,2,1,1,1,1,1
NU,Tauros,128,Intimidate~Anger Point~Sheer Force,Normal,75,100,95,40,70,110,14,884,Wild Bull Pokémon,1,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,172,45,Field,20,70,FALSE,,Brown,Quadruped,71,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
LC,Magikarp,129,Swift Swim~Rattled,Water,20,10,55,15,20,80,9,100,Fish Pokémon,1,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,40,255,Water 2~Dragon,5,70,TRUE,,Red,Fish,72,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
UU,Gyarados,130,Intimidate~Moxie,Water~Flying,95,125,79,60,100,81,65,2350,Atrocious Pokémon,1,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,189,45,Water 2~Dragon,5,70,FALSE,Magikarp,Blue,Squiggle,8,1,0.5,0.5,4,1,1,0.5,1,0,1,1,0.5,2,1,1,1,0.5,1
(PU),Lapras,131,Water Absorb~Shell Armor~Hydration,Water~Ice,130,85,80,85,95,60,25,2200,Transport Pokémon,1,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,187,45,Monster~Water 1,40,70,FALSE,,Blue,Fish,7,1,1,0.5,2,2,0.25,2,1,1,1,1,1,2,1,1,1,1,1
(PU),Ditto,132,Limber~Imposter,Normal,48,48,48,48,48,48,3,40,Transform Pokémon,1,0,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,101,35,Ditto,20,70,FALSE,,Purple,Ball,71,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
LC,Eevee,133,Run Away~Adaptability~Anticipation,Normal,55,55,50,45,65,55,3,65,Evolution Pokémon,1,0.125,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,65,45,Field,35,70,TRUE,,Brown,Quadruped,71,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
NU,Vaporeon,134,Water Absorb~Hydration,Water,130,65,60,110,95,65,10,290,Bubble Jet Pokémon,1,0.125,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,184,45,Field,35,70,FALSE,Eevee,Blue,Quadruped,72,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
PU,Jolteon,135,Volt Absorb~Quick Feet,Electric,65,65,60,110,95,130,8,245,Lightning Pokémon,1,0.125,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,184,45,Field,35,70,FALSE,Eevee,Yellow,Quadruped,34,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1
(PU),Flareon,136,Flash Fire~Guts,Fire,65,130,60,95,110,65,9,250,Flame Pokémon,1,0.125,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,184,45,Field,35,70,FALSE,Eevee,Red,Quadruped,34,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5
LC,Porygon,137,Trace~Download~Analytic,Normal,65,60,70,85,75,40,8,365,Virtual Pokémon,1,0,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,79,45,Mineral,20,70,TRUE,,Pink,Legs,71,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
LC,Omanyte,138,Swift Swim~Shell Armor~Weak Armor,Rock~Water,35,40,100,90,55,35,4,75,Spiral Pokémon,1,0.125,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,71,45,Water 1~Water 3,30,70,TRUE,,Blue,Tentacles,11,0.5,0.25,1,2,4,0.5,2,0.5,2,0.5,1,1,1,1,1,1,1,1
PUBL,Omastar,139,Swift Swim~Shell Armor~Weak Armor,Rock~Water,70,60,125,115,70,55,10,350,Spiral Pokémon,1,0.125,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,173,45,Water 1~Water 3,30,70,FALSE,Omanyte,Blue,Tentacles,11,0.5,0.25,1,2,4,0.5,2,0.5,2,0.5,1,1,1,1,1,1,1,1
LC,Kabuto,140,Swift Swim~Battle Armor~Weak Armor,Rock~Water,30,80,90,55,45,55,5,115,Shellfish Pokémon,1,0.125,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,71,45,Water 1~Water 3,30,70,TRUE,,Brown,Armor,11,0.5,0.25,1,2,4,0.5,2,0.5,2,0.5,1,1,1,1,1,1,1,1
(PU),Kabutops,141,Swift Swim~Battle Armor~Weak Armor,Rock~Water,60,115,105,65,70,80,13,405,Shellfish Pokémon,1,0.125,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,173,45,Water 1~Water 3,30,70,FALSE,Kabuto,Brown,Upright,11,0.5,0.25,1,2,4,0.5,2,0.5,2,0.5,1,1,1,1,1,1,1,1
NU,Aerodactyl,142,Rock Head~Pressure~Unnerve,Rock~Flying,80,105,65,60,75,130,18,590,Fossil Pokémon,1,0.125,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,180,45,Flying,35,70,FALSE,,Purple,Wings,6,0.5,0.5,2,2,1,2,1,0.5,0,0.5,1,0.5,2,1,1,1,2,1
NU,Snorlax,143,Immunity~Thick Fat~Gluttony,Normal,160,110,65,65,110,30,21,4600,Sleeping Pokémon,1,0.125,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,189,25,Monster,40,70,FALSE,Munchlax,Black,Humanoid,71,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
(PU),Articuno,144,Pressure~Snow Cloak,Ice~Flying,90,85,100,95,125,85,17,554,Freeze Pokémon,1,0,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,261,3,Undiscovered,80,35,FALSE,,Blue,Wings,2,1,2,1,2,0.5,1,1,1,0,1,1,0.5,4,1,1,1,2,1
OU,Zapdos,145,Pressure~Static,Electric~Flying,90,90,85,125,90,100,16,526,Electric Pokémon,1,0,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,261,3,Undiscovered,80,35,FALSE,,Yellow,Wings,6,1,1,1,1,0.5,2,0.5,1,0,0.5,1,0.5,2,1,1,1,0.5,1
UU,Moltres,146,Pressure~Flame Body,Fire~Flying,90,100,90,125,85,90,20,600,Flame Pokémon,1,0,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,261,3,Undiscovered,80,35,FALSE,,Yellow,Wings,7,1,0.5,2,2,0.25,1,0.5,1,0,1,1,0.25,4,1,1,1,0.5,0.5
LC,Dratini,147,Shed Skin~Marvel Scale,Dragon,41,64,45,50,50,50,18,33,Dragon Pokémon,1,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,60,45,Water 1~Dragon,40,35,TRUE,,Blue,Squiggle,13,1,0.5,0.5,0.5,0.5,2,1,1,1,1,1,1,1,1,2,1,1,2
NFE,Dragonair,148,Shed Skin~Marvel Scale,Dragon,61,84,65,70,70,70,40,165,Dragon Pokémon,1,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,147,45,Water 1~Dragon,40,35,TRUE,Dratini,Blue,Squiggle,13,1,0.5,0.5,0.5,0.5,2,1,1,1,1,1,1,1,1,2,1,1,2
OU,Dragonite,149,Inner Focus~Multiscale,Dragon~Flying,91,134,95,100,100,80,22,2100,Dragon Pokémon,1,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,270,45,Water 1~Dragon,40,35,FALSE,Dragonair,Brown,Upright,8,1,0.5,0.5,1,0.25,4,0.5,1,0,1,1,0.5,2,1,2,1,1,2
Uber,Mewtwo,150,Pressure~Unnerve,Psychic,106,110,90,154,90,130,20,1220,Genetic Pokémon,1,0,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,306,3,Undiscovered,120,0,FALSE,,Purple,Upright,45,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,1
OU,Mew,151,Synchronize,Psychic,100,100,100,100,100,100,4,40,New Species Pokémon,1,0,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,270,45,Undiscovered,120,100,FALSE,,Pink,Upright,45,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,1
LC,Hoothoot,163,Insomnia~Keen Eye~Tinted Lens,Normal~Flying,60,30,30,36,56,50,7,212,Owl Pokémon,2,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,52,255,Flying,15,70,TRUE,,Brown,Wings,27,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1
(PU),Noctowl,164,Insomnia~Keen Eye~Tinted Lens,Normal~Flying,100,50,50,86,96,70,16,408,Owl Pokémon,2,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,158,90,Flying,15,70,FALSE,Hoothoot,Brown,Wings,27,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1
RU,Crobat,169,Inner Focus~Infiltrator,Poison~Flying,85,90,80,70,80,130,18,750,Bat Pokémon,2,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,241,90,Flying,15,70,FALSE,Golbat,Purple,Bug-Wings,3,1,1,1,2,0.25,2,0.25,0.5,0,1,2,0.25,2,1,1,1,1,0.5
LC,Chinchou,170,Volt Absorb~Illuminate~Water Absorb,Water~Electric,75,38,38,56,56,67,5,120,Angler Pokémon,2,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,66,190,Water 2,20,70,TRUE,,Blue,Fish,3,1,0.5,0.5,1,2,0.5,1,1,2,0.5,1,1,1,1,1,1,0.25,1
PU,Lanturn,171,Volt Absorb~Illuminate~Water Absorb,Water~Electric,125,58,58,76,76,67,12,225,Light Pokémon,2,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,161,75,Water 2,20,70,FALSE,Chinchou,Blue,Fish,3,1,0.5,0.5,1,2,0.5,1,1,2,0.5,1,1,1,1,1,1,0.25,1
LC,Pichu,172,Static~Lightning Rod,Electric,20,40,15,35,35,60,3,20,Tiny Mouse Pokémon,2,0.5,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,41,190,Undiscovered,10,70,TRUE,,Yellow,Quadruped,34,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1
LC,Cleffa,173,Cute Charm~Magic Guard~Friend Guard,Fairy,50,25,28,45,55,15,3,30,Star Shape Pokémon,2,0.75,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,44,150,Undiscovered,10,140,TRUE,,Pink,Upright,19,1,1,1,1,1,1,0.5,2,1,1,1,0.5,1,1,0,0.5,2,1
LC,Igglybuff,174,Cute Charm~Competitive~Friend Guard,Normal~Fairy,90,30,15,40,20,15,3,10,Balloon Pokémon,2,0.75,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,42,170,Undiscovered,10,70,TRUE,,Pink,Humanoid,5,1,1,1,1,1,1,1,2,1,1,1,0.5,1,0,0,0.5,2,1
LC,Togepi,175,Hustle~Serene Grace~Super Luck,Fairy,35,20,65,40,65,20,3,15,Spike Ball Pokémon,2,0.125,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,49,190,Undiscovered,10,70,TRUE,,White,Humanoid,19,1,1,1,1,1,1,0.5,2,1,1,1,0.5,1,1,0,0.5,2,1
NFE,Togetic,176,Hustle~Serene Grace~Super Luck,Fairy~Flying,55,40,85,80,105,40,6,32,Happiness Pokémon,2,0.125,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,142,75,Flying~Fairy,10,70,TRUE,Togepi,White,Humanoid,2,1,1,1,2,0.5,2,0.25,2,0,1,1,0.25,2,1,0,0.5,2,1
LC,Natu,177,Synchronize~Early Bird~Magic Bounce,Psychic~Flying,40,50,45,70,45,70,2,20,Tiny Bird Pokémon,2,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,64,190,Flying,20,70,TRUE,,Green,Wings,8,1,1,1,2,0.5,2,0.25,1,0,1,0.5,1,2,2,1,2,1,1
NU,Xatu,178,Synchronize~Early Bird~Magic Bounce,Psychic~Flying,65,75,70,95,70,95,15,150,Mystic Pokémon,2,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,165,75,Flying,20,70,FALSE,Natu,Green,Wings,8,1,1,1,2,0.5,2,0.25,1,0,1,0.5,1,2,2,1,2,1,1
(PU),Bellossom,182,Chlorophyll~Healer,Grass,75,80,95,90,100,50,4,58,Flower Pokémon,2,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,221,45,Grass,20,70,FALSE,Gloom,Green,Humanoid,43,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1
NFE,Marill,183,Thick Fat~Huge Power~Sap Sipper,Water~Fairy,70,20,50,20,50,40,4,85,Aqua Mouse Pokémon,2,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,88,190,Water 1~Fairy,10,70,TRUE,Azurill,Blue,Upright,4,1,0.5,0.5,2,2,0.5,0.5,2,1,1,1,0.5,1,1,0,0.5,1,1
UU,Azumarill,184,Thick Fat~Huge Power~Sap Sipper,Water~Fairy,100,50,80,60,80,50,8,285,Aqua Rabbit Pokémon,2,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,189,75,Water 1~Fairy,10,70,FALSE,Marill,Blue,Upright,4,1,0.5,0.5,2,2,0.5,0.5,2,1,1,1,0.5,1,1,0,0.5,1,1
(PU),Sudowoodo,185,Sturdy~Rock Head~Rattled,Rock,70,100,115,30,65,30,12,380,Imitation Pokémon,2,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,144,65,Mineral,20,70,FALSE,Bonsly,Brown,Humanoid,16,0.5,0.5,2,1,2,1,2,0.5,2,0.5,1,1,1,1,1,1,2,1
RU,Politoed,186,Water Absorb~Damp~Drizzle,Water,90,75,75,90,100,70,11,339,Frog Pokémon,2,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,225,45,Water 1,20,70,FALSE,Poliwhirl,Green,Humanoid,72,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
LC,Wooper,194,Damp~Water Absorb~Unaware,Water~Ground,55,45,45,25,25,15,4,85,Water Fish Pokémon,2,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,42,255,Water 1~Field,20,70,TRUE,,Blue,Legs,10,1,0.5,1,0,4,1,1,0.5,1,1,1,1,0.5,1,1,1,0.5,1
PU,Quagsire,195,Damp~Water Absorb~Unaware,Water~Ground,95,85,85,65,65,35,14,750,Water Fish Pokémon,2,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,151,90,Water 1~Field,20,70,FALSE,Wooper,Blue,Upright,10,1,0.5,1,0,4,1,1,0.5,1,1,1,1,0.5,1,1,1,0.5,1
NU,Espeon,196,Synchronize~Magic Bounce,Psychic,65,65,60,130,95,110,9,265,Sun Pokémon,2,0.125,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,184,45,Field,35,70,FALSE,Eevee,Purple,Quadruped,45,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,1
RU,Umbreon,197,Synchronize~Inner Focus,Dark,95,65,110,60,130,65,10,270,Moonlight Pokémon,2,0.125,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,184,45,Field,35,35,FALSE,Eevee,Black,Quadruped,14,1,1,1,1,1,1,2,1,1,1,0,2,1,0.5,1,0.5,1,2
UU,Slowking,199,Oblivious~Own Tempo~Regenerator,Water~Psychic,95,75,80,100,110,30,20,795,Royal Pokémon,2,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,172,70,Monster~Water 1,20,70,FALSE,Slowpoke,Pink,Upright,6,1,0.5,0.5,2,2,0.5,0.5,1,1,1,0.5,2,1,2,1,2,0.5,1
(PU),Wobbuffet,202,Shadow Tag~Telepathy,Psychic,190,33,58,33,58,33,13,285,Patient Pokémon,2,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,142,45,Amorphous,20,70,FALSE,Wynaut,Blue,Blob,45,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,1
(PU),Dunsparce,206,Serene Grace~Run Away~Rattled,Normal,100,70,70,65,65,45,15,140,Land Snake Pokémon,2,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,145,190,Field,20,70,FALSE,,Yellow,Squiggle,71,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
RU,Steelix,208,Rock Head~Sturdy~Sheer Force,Steel~Ground,75,85,200,55,65,30,92,4000,Iron Snake Pokémon,2,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,179,25,Mineral,25,70,FALSE,Onix,Gray,Squiggle,6,0.5,2,2,0,1,1,2,0,2,0.5,0.5,0.5,0.25,1,0.5,1,0.5,0.5
(PU),Qwilfish,211,Poison Point~Swift Swim~Intimidate,Water~Poison,65,95,85,55,55,85,5,39,Balloon Pokémon,2,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,88,45,Water 2,20,70,FALSE,,Gray,Fish,6,1,0.5,0.5,2,1,0.5,0.5,0.5,2,1,2,0.5,1,1,1,1,0.5,0.5
OU,Scizor,212,Swarm~Technician~Light Metal,Bug~Steel,70,130,100,55,80,65,18,1180,Pincer Pokémon,2,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,175,25,Bug,25,70,FALSE,Scyther,Red,Bug-Wings,7,0.5,4,1,1,0.25,0.5,1,0,1,1,0.5,0.5,1,1,0.5,1,0.5,0.5
(PU),Shuckle,213,Sturdy~Gluttony~Contrary,Bug~Rock,20,10,230,10,230,5,6,205,Mold Pokémon,2,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,177,190,Bug,20,70,FALSE,,Yellow,Armor,5,0.5,1,2,1,1,1,1,0.5,1,1,1,1,2,1,1,1,2,1
RU,Heracross,214,Swarm~Guts~Moxie,Bug~Fighting,80,125,75,40,95,85,15,540,Single Horn Pokémon,2,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,175,45,Bug,25,70,FALSE,,Blue,Humanoid,4,1,2,1,1,0.5,1,0.5,1,0.5,4,2,0.5,1,1,1,0.5,1,2
NFE,Sneasel,215,Inner Focus~Keen Eye~Pickpocket,Dark~Ice,55,95,55,35,75,115,9,280,Sharp Claw Pokémon,2,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,86,60,Field,20,35,TRUE,,Black,Upright,2,1,2,1,1,1,0.5,4,1,1,1,0,2,2,0.5,1,0.5,2,2
LC,Swinub,220,Oblivious~Snow Cloak~Thick Fat,Ice~Ground,50,50,40,30,30,50,4,65,Pig Pokémon,2,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,50,225,Field,20,70,TRUE,,Brown,Quadruped,3,1,2,2,0,2,1,2,0.5,1,1,1,1,1,1,1,1,2,1
NFE,Piloswine,221,Oblivious~Snow Cloak~Thick Fat,Ice~Ground,100,100,80,60,60,50,11,558,Swine Pokémon,2,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,158,75,Field,20,70,TRUE,Swinub,Brown,Quadruped,3,1,2,2,0,2,1,2,0.5,1,1,1,1,1,1,1,1,2,1
(PU),Corsola,222,Hustle~Natural Cure~Regenerator,Water~Rock,65,55,95,65,95,35,6,50,Coral Pokémon,2,0.75,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,144,60,Water 1~Water 3,20,70,TRUE,,Pink,Armor,11,0.5,0.25,1,2,4,0.5,2,0.5,2,0.5,1,1,1,1,1,1,1,1
LC,Remoraid,223,Hustle~Sniper~Moody,Water,35,65,35,65,35,65,6,120,Jet Pokémon,2,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,60,190,Water 1~Water 2,20,70,TRUE,,Gray,Fish,72,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
(PU),Octillery,224,Suction Cups~Sniper~Moody,Water,75,105,75,105,75,45,9,285,Jet Pokémon,2,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,168,75,Water 1~Water 2,20,70,FALSE,Remoraid,Red,Tentacles,72,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
(PU),Delibird,225,Vital Spirit~Hustle~Insomnia,Ice~Flying,45,55,45,65,45,75,9,160,Delivery Pokémon,2,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,116,45,Water 1~Field,20,70,FALSE,,Red,Wings,2,1,2,1,2,0.5,1,1,1,0,1,1,0.5,4,1,1,1,2,1
NU,Mantine,226,Swift Swim~Water Absorb~Water Veil,Water~Flying,85,40,70,80,140,70,21,2200,Kite Pokémon,2,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,170,25,Water 1,25,70,FALSE,Mantyke,Purple,Wings,8,1,0.5,0.5,4,1,1,0.5,1,0,1,1,0.5,2,1,1,1,0.5,1
UU,Skarmory,227,Keen Eye~Sturdy~Weak Armor,Steel~Flying,65,80,140,40,70,70,17,505,Armor Bird Pokémon,2,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,163,25,Flying,25,70,FALSE,,Gray,Wings,3,0.5,2,1,2,0.25,1,1,0,0,0.5,0.5,0.25,1,1,0.5,1,0.5,0.5
PUBL,Kingdra,230,Swift Swim~Sniper~Damp,Water~Dragon,75,95,95,95,95,85,18,1520,Dragon Pokémon,2,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,243,45,Water 1~Dragon,20,70,FALSE,Seadra,Blue,Blob,3,1,0.25,0.25,1,1,1,1,1,1,1,1,1,1,1,2,1,0.5,2
RU,Porygon2,233,Trace~Download~Analytic,Normal,85,80,90,105,95,60,6,325,Virtual Pokémon,2,0,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,180,45,Mineral,20,70,TRUE,Porygon,Red,Legs,71,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
LC,Tyrogue,236,Guts~Steadfast~Vital Spirit,Fighting,35,35,35,35,35,35,7,210,Scuffle Pokémon,2,0,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,42,75,Undiscovered,25,70,TRUE,,Purple,Humanoid,29,1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,2
PU,Hitmontop,237,Intimidate~Technician~Steadfast,Fighting,50,95,95,35,110,70,14,480,Handstand Pokémon,2,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,159,45,Human-Like,25,70,FALSE,Tyrogue,Brown,Upright,29,1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,2
LC,Smoochum,238,Oblivious~Forewarn~Hydration,Ice~Psychic,45,30,15,85,65,65,4,60,Kiss Pokémon,2,1,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,61,45,Undiscovered,25,70,TRUE,,Pink,Humanoid,5,1,2,1,1,1,0.5,1,1,1,1,0.5,2,2,2,1,2,2,1
